_data,timestamp
-0.062,1741690003500913548
-0.062,1741690003712068396
-0.062,1741690003712113983
-0.062,1741690003712236837
-0.058,1741690003712526357
-0.058,1741690003712554972
-0.058,1741690003925946675
-0.06,1741690003926077464
-0.06,1741690003926334172
-0.056,1741690003940713965
-0.057,1741690003980885708
-0.057,1741690004022809603
-0.055,1741690004231219192
-0.055,1741690004231579557
-0.08,1741690004425636114
-0.08,1741690004425782633
-0.115,1741690004605840684
-0.115,1741690004606013763
-0.131,1741690004622475886
-0.14,1741690004663458680
-0.14,1741690004701082986
-0.14,1741690004867706953
-0.157,1741690004868074422
-0.177,1741690005052937641
-0.177,1741690005053508607
-0.206,1741690005065293933
-0.206,1741690005101096152
-0.206,1741690005140985945
-0.214,1741690005180927447
-0.214,1741690005220853820
-0.225,1741690005265037421
-0.225,1741690005301473064
-0.225,1741690005341322530
-0.24,1741690005383593974
-0.24,1741690005421623148
-0.241,1741690005462723595
-0.241,1741690005501168429
-0.241,1741690005541748866
-0.251,1741690005581453868
-0.251,1741690005625098183
-0.257,1741690005666534738
-0.257,1741690005701144018
-0.257,1741690005809150805
-0.259,1741690005810067508
-0.259,1741690005955551289
-0.264,1741690006135461096
-0.264,1741690006135670885
-0.266,1741690006141294992
-0.267,1741690006222272604
-0.267,1741690006222945625
-0.265,1741690006265018999
-0.265,1741690006301734253
-0.265,1741690006342804440
-0.265,1741690006381857380
-0.265,1741690006421036781
-0.261,1741690006464370413
-0.261,1741690006501143126
-0.261,1741690006541798183
-0.258,1741690006581419174
-0.258,1741690006622740368
-0.258,1741690006664263707
-0.258,1741690006701323386
-0.258,1741690006741021934
-0.253,1741690006781124490
-0.253,1741690006821948279
-0.247,1741690006864963525
-0.247,1741690006901835898
-0.247,1741690006941401112
-0.241,1741690006980978951
-0.241,1741690007020943083
-0.233,1741690007064755414
-0.233,1741690007101565657
-0.233,1741690007141103939
-0.224,1741690007180909278
-0.224,1741690007220824898
-0.224,1741690007263067683
-0.224,1741690007301904701
-0.224,1741690007341782960
-0.214,1741690007381027092
-0.214,1741690007421292206
-0.201,1741690007466937553
-0.201,1741690007501392576
-0.201,1741690007541300942
-0.194,1741690007580906251
-0.194,1741690007621279110
-0.188,1741690007661220238
-0.188,1741690007701152268
-0.188,1741690007741675684
-0.177,1741690007781368590
-0.177,1741690007820539463
-0.175,1741690007864960571
-0.175,1741690007901491453
-0.175,1741690007942932654
-0.168,1741690007981339914
-0.168,1741690008022850486
-0.16,1741690008066102710
-0.16,1741690008101527126
-0.16,1741690008142704354
-0.156,1741690008180974602
-0.156,1741690008222187567
-0.153,1741690008262979361
-0.153,1741690008301089245
-0.153,1741690008341416235
-0.152,1741690008381108418
-0.152,1741690008421683640
-0.153,1741690008463706396
-0.153,1741690008502102293
-0.153,1741690008541562495
-0.153,1741690008581520032
-0.153,1741690008623590368
-0.154,1741690008662398430
-0.154,1741690008701670003
-0.154,1741690008743105642
-0.161,1741690008781609695
-0.161,1741690008825347843
-0.161,1741690008863313331
-0.161,1741690008901613567
-0.161,1741690008941471785
-0.163,1741690008980819613
-0.163,1741690009021582522
-0.169,1741690009063157825
-0.169,1741690009101328091
-0.169,1741690009141746875
-0.178,1741690009181543525
-0.178,1741690009220771213
-0.178,1741690009262102101
-0.178,1741690009301404911
-0.178,1741690009342706594
-0.186,1741690009381321687
-0.186,1741690009420820571
-0.191,1741690009462184561
-0.191,1741690009501161853
-0.191,1741690009541432524
-0.201,1741690009581006842
-0.201,1741690009621608653
-0.204,1741690009663696230
-0.204,1741690009701374081
-0.204,1741690009741761073
-0.21,1741690009781295485
-0.21,1741690009821177747
-0.21,1741690009864200503
-0.21,1741690009901180145
-0.21,1741690009941395011
-0.218,1741690009981185539
-0.218,1741690010021355779
-0.219,1741690010060941576
-0.219,1741690010101153775
-0.219,1741690010141008344
-0.224,1741690010180826573
-0.224,1741690010220718633
-0.227,1741690010265239526
-0.227,1741690010301358641
-0.227,1741690010341877132
-0.229,1741690010380739313
-0.229,1741690010421179105
-0.231,1741690010467215771
-0.231,1741690010501331966
-0.231,1741690010542058734
-0.229,1741690010580854308
-0.229,1741690010620992676
-0.228,1741690010663562349
-0.228,1741690010701283440
-0.228,1741690010741987123
-0.224,1741690010780996094
-0.224,1741690010821510698
-0.219,1741690010863546004
-0.219,1741690010901291180
-0.219,1741690010941222145
-0.217,1741690010981337790
-0.217,1741690011023241735
-0.218,1741690011064885595
-0.218,1741690011101407544
-0.218,1741690011141939129
-0.21,1741690011180800487
-0.21,1741690011222916355
-0.212,1741690011266381909
-0.212,1741690011301164450
-0.212,1741690011341416724
-0.21,1741690011381245231
-0.21,1741690011421376034
-0.2,1741690011462554368
-0.2,1741690011501315686
-0.2,1741690011541648984
-0.197,1741690011580863283
-0.197,1741690011623171817
-0.194,1741690011663235041
-0.194,1741690011701675008
-0.194,1741690011742588519
-0.198,1741690011781525170
-0.198,1741690011823994160
-0.181,1741690011862811243
-0.181,1741690011901720292
-0.181,1741690011942019876
-0.184,1741690011981600632
-0.184,1741690012025182176
-0.188,1741690012064365966
-0.188,1741690012102555294
-0.188,1741690012141271274
-0.181,1741690012181509299
-0.181,1741690012222230613
-0.181,1741690012263708005
-0.181,1741690012301625296
-0.181,1741690012342930781
-0.177,1741690012381207015
-0.177,1741690012421660019
-0.175,1741690012462988578
-0.175,1741690012501046235
-0.175,1741690012541723997
-0.179,1741690012581472921
-0.179,1741690012624916072
-0.178,1741690012663014838
-0.178,1741690012701230737
-0.178,1741690012741522394
-0.177,1741690012780857622
