_data,timestamp
-0.054,1741689318184805567
-0.054,1741689318207330549
-0.054,1741689318388054196
-0.054,1741689318441201608
-0.052,1741689318442337355
-0.052,1741689318460990815
-0.052,1741689318535409150
-0.052,1741689318555190402
-0.054,1741689318564372151
-0.054,1741689318604124661
-0.054,1741689318827654830
-0.054,1741689318910714711
-0.052,1741689318911442564
-0.052,1741689319103768694
-0.055,1741689319107216312
-0.053,1741689319124225803
-0.056,1741689319164671622
-0.056,1741689319206906343
-0.055,1741689319249047358
-0.055,1741689319284535862
-0.055,1741689319324317578
-0.059,1741689319582555128
-0.059,1741689319583246793
-0.054,1741689319604583299
-0.052,1741689319649469155
-0.052,1741689319684549706
-0.052,1741689319723762937
-0.052,1741689319764104090
-0.052,1741689320398006675
-0.051,1741689320398994716
-0.054,1741689320412378135
-0.05,1741689320447887558
-0.05,1741689320499692826
-0.05,1741689320523991029
-0.053,1741689320564506740
-0.053,1741689320603918603
-0.054,1741689320647667299
-0.054,1741689320684243541
-0.054,1741689320724104565
-0.053,1741689320764303082
-0.053,1741689320804291605
-0.053,1741689320849017512
-0.053,1741689320883994658
-0.053,1741689320925900804
-0.05,1741689320963806976
-0.05,1741689321003779981
-0.056,1741689321049490021
-0.056,1741689321083981227
-0.056,1741689321124531773
-0.05,1741689321164254619
-0.05,1741689321204337949
-0.055,1741689321249460660
-0.055,1741689321283863891
-0.055,1741689321323878293
-0.054,1741689321364000707
-0.054,1741689321404327504
-0.056,1741689321450247828
-0.056,1741689321689310721
-0.056,1741689321690906570
-0.053,1741689321904175419
-0.052,1741689321904844832
-0.054,1741689321905035760
-0.054,1741689322162491555
-0.052,1741689322163003324
-0.057,1741689322163880187
-0.057,1741689322363259528
-0.056,1741689322364281823
-0.056,1741689322576352927
-0.051,1741689322576764619
-0.051,1741689322581513033
-0.051,1741689322583246570
-0.05,1741689322585419530
-0.05,1741689322604295968
-0.055,1741689322648285766
-0.055,1741689322823781350
-0.055,1741689322824546273
-0.052,1741689322997212978
-0.052,1741689322998069232
-0.055,1741689323233051702
-0.052,1741689323236893909
-0.054,1741689323296831219
-0.054,1741689323297070758
-0.054,1741689323445676955
-0.052,1741689323446198422
-0.053,1741689323449048861
-0.053,1741689323484178112
-0.053,1741689323523949238
-0.048,1741689323564797522
-0.048,1741689323605447434
-0.053,1741689323648089458
-0.053,1741689323683797333
-0.053,1741689323743017760
-0.052,1741689323886958218
-0.052,1741689323887399124
-0.05,1741689323951110413
-0.051,1741689324106760383
-0.051,1741689324108002670
-0.055,1741689324124267316
-0.055,1741689324163920411
-0.055,1741689324208761524
-0.052,1741689324247096931
-0.052,1741689324284377902
-0.052,1741689324324823832
-0.054,1741689324364260412
-0.054,1741689324404283119
-0.055,1741689324447555824
-0.055,1741689324484050323
-0.055,1741689324524171565
-0.056,1741689324564129411
-0.056,1741689324605618875
-0.057,1741689324646985300
-0.057,1741689324684084471
-0.057,1741689324724754941
-0.053,1741689324763843850
-0.053,1741689324807871849
