_data,timestamp
-0.166,1741622008568577523
-0.166,1741622008609565354
-0.167,1741622008656148836
-0.167,1741622008702338742
-0.176,1741622008729277898
-0.176,1741622008769351426
-0.176,1741622008808974367
-0.174,1741622008855862071
-0.174,1741622008895730290
-0.18,1741622008929024011
-0.18,1741622008968957401
-0.18,1741622009009306201
-0.184,1741622009048997563
-0.184,1741622009094139402
-0.18,1741622009128979036
-0.18,1741622009169376181
-0.18,1741622009210087307
-0.183,1741622009249389386
-0.183,1741622009304821041
-0.186,1741622009329399696
-0.186,1741622009369662696
-0.186,1741622009409537425
-0.185,1741622009449456539
-0.185,1741622009494235877
-0.184,1741622009529510704
-0.184,1741622009569672400
-0.184,1741622009609975841
-0.185,1741622009650299410
-0.185,1741622009695754074
-0.184,1741622009729773917
-0.184,1741622009770444684
-0.184,1741622009810120874
-0.185,1741622009854306926
-0.185,1741622009900621990
-0.182,1741622009929680597
-0.182,1741622009969526408
-0.182,1741622010009835964
-0.189,1741622010053128650
-0.189,1741622010099650809
-0.192,1741622010129480246
-0.192,1741622010169705646
-0.192,1741622010209713707
-0.188,1741622010259919427
-0.188,1741622010296607381
-0.187,1741622010329694348
-0.187,1741622010369855111
-0.187,1741622010410436916
-0.193,1741622010450633040
-0.193,1741622010498420316
-0.198,1741622010529758911
-0.198,1741622010570014932
-0.198,1741622010610475582
-0.2,1741622010653561093
-0.2,1741622010702035281
-0.198,1741622010730025897
-0.198,1741622010770306992
-0.198,1741622010810035073
-0.211,1741622010856688098
-0.211,1741622010906471684
-0.204,1741622010931593831
-0.204,1741622010971174379
-0.204,1741622011010249205
-0.215,1741622011058859391
-0.215,1741622011107121040
-0.224,1741622011131140078
-0.224,1741622011170806777
-0.224,1741622011211731590
-0.224,1741622011257781113
-0.224,1741622011305814473
-0.226,1741622011330305652
-0.226,1741622011370332367
-0.226,1741622011410281940
-0.232,1741622011456554318
-0.232,1741622011503823169
-0.239,1741622011530978767
-0.239,1741622011570775015
-0.239,1741622011610652466
-0.239,1741622011656741994
-0.239,1741622011693980106
-0.251,1741622011730389125
-0.251,1741622011770455020
-0.251,1741622011810547937
-0.251,1741622011856165593
-0.251,1741622011890545438
-0.265,1741622011930616504
-0.265,1741622011977177664
-0.265,1741622012011457720
-0.264,1741622012050829079
-0.264,1741622012102561966
-0.269,1741622012134696945
-0.269,1741622012170903618
-0.269,1741622012226157304
-0.274,1741622012258677571
-0.274,1741622012291326616
-0.279,1741622012330997415
-0.279,1741622012381476200
-0.279,1741622012410913304
-0.28,1741622012450924046
-0.28,1741622012506163893
-0.284,1741622012537777066
-0.284,1741622012571223317
-0.284,1741622012611565237
-0.289,1741622012657541104
-0.289,1741622012691192783
-0.3,1741622012732675042
-0.3,1741622012776513390
-0.3,1741622012811275804
-0.3,1741622012851319566
-0.3,1741622012900530663
-0.305,1741622012933657333
-0.305,1741622012971597365
-0.305,1741622013012781410
-0.309,1741622013059701975
-0.309,1741622013092557369
-0.322,1741622013131607939
-0.322,1741622013183319521
-0.322,1741622013215608550
-0.319,1741622013251488533
-0.319,1741622013291346313
-0.328,1741622013335934151
-0.328,1741622013371676482
-0.328,1741622013412035031
-0.334,1741622013460928317
-0.334,1741622013493500823
-0.332,1741622013531553847
-0.332,1741622013571789192
-0.332,1741622013619316737
-0.339,1741622013651753392
-0.339,1741622013691763432
-0.346,1741622013734767359
-0.346,1741622013771679529
-0.346,1741622013811779044
-0.356,1741622013854562197
-0.356,1741622013891860694
-0.36,1741622013931929807
-0.36,1741622013971998978
-0.36,1741622014018260200
-0.363,1741622014052566169
-0.363,1741622014091834445
-0.367,1741622014141858474
-0.367,1741622014172131824
-0.367,1741622014212203991
-0.376,1741622014252152458
-0.376,1741622014294387390
-0.383,1741622014332164849
-0.383,1741622014372226182
-0.383,1741622014417791804
-0.385,1741622014452562318
-0.385,1741622014492380636
-0.39,1741622014546483940
-0.39,1741622014578843530
-0.39,1741622014614699382
-0.393,1741622014652472686
-0.393,1741622014695891979
-0.397,1741622014736754711
-0.397,1741622014772289947
-0.397,1741622014827511405
-0.401,1741622014860477834
-0.401,1741622014892289210
-0.409,1741622014932627424
-0.409,1741622014982731852
-0.409,1741622015012665356
-0.415,1741622015052554082
-0.415,1741622015103572677
-0.421,1741622015135395985
-0.421,1741622015172509190
-0.421,1741622015227356582
-0.426,1741622015258506454
-0.426,1741622015292553542
-0.427,1741622015332472303
-0.427,1741622015373734765
-0.427,1741622015414626367
-0.434,1741622015452813725
-0.434,1741622015495630647
-0.437,1741622015541917434
-0.437,1741622015573147187
-0.437,1741622015613313607
-0.442,1741622015655698121
-0.442,1741622015692817041
-0.448,1741622015732984598
-0.448,1741622015788768244
-0.448,1741622015815466164
-0.447,1741622015853118899
-0.447,1741622015893040400
-0.446,1741622015939630882
-0.446,1741622015973342050
-0.446,1741622016012927518
-0.454,1741622016063484451
-0.454,1741622016095524430
-0.453,1741622016133097189
-0.453,1741622016187340687
-0.453,1741622016219669346
-0.458,1741622016253517164
-0.458,1741622016293778454
-0.458,1741622016344794294
-0.458,1741622016376491852
-0.458,1741622016413735275
-0.457,1741622016468976870
-0.457,1741622016496566522
-0.457,1741622016534007109
-0.457,1741622016573696907
-0.457,1741622016620508457
-0.458,1741622016653942780
-0.458,1741622016693500502
-0.455,1741622016744159471
-0.455,1741622016775967656
-0.455,1741622016813568801
-0.453,1741622016868533288
-0.453,1741622016900761576
-0.452,1741622016933867813
-0.452,1741622016973724596
-0.452,1741622017024244982
-0.457,1741622017056082590
-0.457,1741622017093740679
-0.446,1741622017148639845
-0.446,1741622017180777793
-0.446,1741622017213763911
-0.446,1741622017253869032
-0.446,1741622017305238158
-0.439,1741622017334570487
-0.439,1741622017373610930
-0.439,1741622017425795542
-0.438,1741622017458657381
-0.438,1741622017493800237
-0.44,1741622017549835080
-0.44,1741622017580660294
-0.44,1741622017614951059
-0.442,1741622017653967118
-0.442,1741622017706136711
-0.434,1741622017736759627
-0.434,1741622017773983129
-0.434,1741622017829231664
