_data,timestamp
-0.404,1741620130146840144
-0.412,1741620130186371041
-0.412,1741620130226911379
-0.416,1741620130266767622
-0.416,1741620130306929613
-0.416,1741620130346776989
-0.423,1741620130386696135
-0.423,1741620130435714996
-0.424,1741620130466751033
-0.424,1741620130506656094
-0.424,1741620130546811171
-0.424,1741620130586646422
-0.424,1741620130636414582
-0.425,1741620130666862483
-0.425,1741620130707104648
-0.425,1741620130747159109
-0.423,1741620130787121304
-0.423,1741620130840145921
-0.415,1741620130866709939
-0.415,1741620130906532872
-0.415,1741620130946819332
-0.408,1741620130986807797
-0.408,1741620131042070392
-0.407,1741620131066864043
-0.407,1741620131107029715
-0.407,1741620131148242181
-0.397,1741620131190201957
-0.397,1741620131242738184
-0.386,1741620131266834190
-0.386,1741620131306809928
-0.386,1741620131346975369
-0.374,1741620131391106087
-0.374,1741620131442663177
-0.364,1741620131466852913
-0.364,1741620131506556423
-0.364,1741620131546419166
-0.362,1741620131590632793
-0.362,1741620131633063916
-0.347,1741620131666524793
-0.347,1741620131706464963
-0.347,1741620131746550670
-0.336,1741620131787233361
-0.336,1741620131837189240
-0.328,1741620131866656067
-0.328,1741620131906594180
-0.328,1741620131946362619
-0.313,1741620131985985067
-0.313,1741620132037198530
-0.309,1741620132066490557
-0.309,1741620132107165656
-0.309,1741620132146517503
-0.289,1741620132186609637
-0.289,1741620132233301277
-0.285,1741620132266612711
-0.285,1741620132306517231
-0.285,1741620132346437600
-0.283,1741620132390955994
-0.283,1741620132441901912
-0.275,1741620132466666042
-0.275,1741620132506669489
-0.275,1741620132546642456
-0.274,1741620132586609702
-0.274,1741620132632971041
-0.272,1741620132666485373
-0.272,1741620132706767999
-0.272,1741620132746616829
-0.269,1741620132786512653
-0.269,1741620132826558369
-0.27,1741620132866535125
-0.27,1741620132907104678
-0.27,1741620132946302237
-0.27,1741620132987002769
-0.27,1741620133026359975
-0.276,1741620133066494374
-0.276,1741620133106366184
-0.276,1741620133147160550
-0.282,1741620133197060293
-0.282,1741620133238674251
-0.287,1741620133267139668
-0.287,1741620133306548651
-0.287,1741620133346595093
-0.287,1741620133390062156
-0.287,1741620133441814482
-0.292,1741620133466636682
-0.292,1741620133506557989
-0.292,1741620133546489258
-0.303,1741620133590193475
-0.303,1741620133641706556
-0.309,1741620133667269493
-0.309,1741620133706747841
-0.309,1741620133746386281
-0.313,1741620133786539542
-0.313,1741620133841669989
-0.318,1741620133866617073
-0.318,1741620133906368985
-0.318,1741620133948210063
-0.328,1741620133987598859
-0.328,1741620134041650157
-0.336,1741620134066532336
-0.336,1741620134106601986
-0.336,1741620134147244320
-0.335,1741620134187777916
-0.335,1741620134226800488
-0.346,1741620134266560069
-0.346,1741620134306671599
-0.346,1741620134347177102
-0.346,1741620134397906192
-0.346,1741620134427358258
-0.356,1741620134466619348
-0.356,1741620134506504199
-0.356,1741620134546372454
-0.357,1741620134590369116
-0.357,1741620134626667444
-0.361,1741620134666476245
-0.361,1741620134706680242
-0.361,1741620134746445419
-0.359,1741620134787937657
-0.359,1741620134826447916
-0.363,1741620134866960916
-0.363,1741620134906559534
-0.363,1741620134946352004
-0.357,1741620134986427322
-0.357,1741620135037573948
-0.357,1741620135066920970
-0.357,1741620135106833762
-0.357,1741620135146492846
-0.357,1741620135186480552
-0.357,1741620135237318492
-0.355,1741620135266497982
-0.355,1741620135307025345
-0.355,1741620135348268424
-0.352,1741620135387320992
-0.352,1741620135440740485
-0.345,1741620135469304579
-0.345,1741620135509537495
-0.345,1741620135607412616
-0.343,1741620135613859910
-0.343,1741620135635496831
-0.336,1741620135666683063
-0.336,1741620135706870296
-0.336,1741620135749862957
-0.328,1741620135786834747
-0.328,1741620135839702720
-0.328,1741620135866973848
-0.328,1741620135956666439
-0.328,1741620135964521195
-0.324,1741620135992628848
-0.324,1741620136030761341
-0.314,1741620136066788046
-0.314,1741620136134196356
-0.314,1741620136146583932
-0.311,1741620136186339827
-0.311,1741620136230022576
-0.308,1741620136266524730
-0.308,1741620136317592282
-0.308,1741620136346678060
-0.313,1741620136393053351
-0.313,1741620136442560468
-0.297,1741620136466208086
-0.297,1741620136506355880
-0.297,1741620136546304900
-0.3,1741620136590947101
-0.3,1741620136639007860
-0.302,1741620136666222849
-0.302,1741620136706467559
-0.302,1741620136746378833
-0.304,1741620136792640513
-0.304,1741620136840481409
-0.303,1741620136866489213
-0.303,1741620136906406642
-0.303,1741620136946353095
-0.298,1741620136992768114
-0.298,1741620137040739585
-0.303,1741620137069202103
-0.303,1741620137106468782
-0.303,1741620137146338427
-0.305,1741620137189549732
-0.305,1741620137240839697
-0.307,1741620137266972644
-0.307,1741620137306954791
-0.307,1741620137346926757
-0.316,1741620137393708251
-0.316,1741620137443826018
-0.314,1741620137466799924
-0.314,1741620137506892322
-0.314,1741620137546748188
-0.316,1741620137587455031
-0.316,1741620137633506696
-0.318,1741620137666780704
-0.318,1741620137706510211
-0.318,1741620137747000177
-0.326,1741620137787026319
-0.326,1741620137834932980
-0.327,1741620137866919991
-0.327,1741620137906712832
-0.327,1741620137946454904
-0.33,1741620137987029362
-0.33,1741620138033450949
-0.333,1741620138066465727
-0.333,1741620138120441917
-0.333,1741620138146433313
-0.333,1741620138191599284
-0.333,1741620138235905052
-0.334,1741620138266909465
-0.334,1741620138306907106
-0.334,1741620138346461113
-0.338,1741620138392066887
-0.338,1741620138439509837
-0.338,1741620138466405197
-0.338,1741620138509439917
-0.338,1741620138546832776
-0.336,1741620138586319922
-0.336,1741620138629717402
-0.338,1741620138666286514
-0.338,1741620138706452736
-0.338,1741620138746385472
-0.337,1741620138786383624
-0.337,1741620138836125121
-0.34,1741620138866931733
-0.34,1741620138906488997
-0.34,1741620138949614661
-0.336,1741620138992231939
-0.336,1741620139039682855
-0.335,1741620139066420536
-0.335,1741620139107639648
-0.335,1741620139146392096
-0.332,1741620139192918617
-0.332,1741620139233790404
-0.331,1741620139266528517
-0.331,1741620139306504821
-0.331,1741620139346391818
-0.332,1741620139391440877
-0.332,1741620139439143701
-0.323,1741620139466448745
-0.323,1741620139506345614
-0.323,1741620139546410930
-0.327,1741620139586304738
-0.327,1741620139638493595
-0.32,1741620139667076587
-0.32,1741620139717582469
-0.32,1741620139746670970
-0.319,1741620139787362093
-0.319,1741620139839925755
-0.314,1741620139866550717
-0.314,1741620139906445977
-0.314,1741620139946477608
-0.317,1741620139990976016
-0.317,1741620140038751465
-0.312,1741620140066439005
-0.312,1741620140106413187
-0.312,1741620140146289032
-0.316,1741620140186307102
-0.316,1741620140232058668
-0.311,1741620140266552175
-0.311,1741620140306420155
-0.311,1741620140346379408
-0.313,1741620140391223868
-0.313,1741620140438946671
-0.313,1741620140466440131
-0.313,1741620140506483385
-0.313,1741620140557286478
-0.309,1741620140592319660
-0.309,1741620140639517314
-0.316,1741620140666324956
-0.316,1741620140706752372
-0.316,1741620140746311864
-0.316,1741620140794123912
-0.316,1741620140841562299
-0.313,1741620140875930307
-0.313,1741620140909690768
-0.313,1741620140946410892
-0.314,1741620140987363683
-0.314,1741620141036492033
-0.3,1741620141078793432
-0.3,1741620141107099160
-0.3,1741620141155703026
-0.293,1741620141188335874
-0.293,1741620141236490359
-0.285,1741620141274509064
-0.285,1741620141306741491
-0.285,1741620141352194670
-0.271,1741620141388916891
-0.271,1741620141436434289
-0.263,1741620141466495004
-0.263,1741620141506802510
-0.263,1741620141546957919
-0.242,1741620141587855275
-0.242,1741620141637510311
-0.229,1741620141671034142
-0.229,1741620141709469600
-0.229,1741620141749631767
-0.212,1741620141791551685
-0.212,1741620141842673270
-0.197,1741620141866769072
-0.197,1741620141906610565
-0.197,1741620141946286088
-0.179,1741620142002463150
-0.179,1741620142034389879
-0.163,1741620142066310521
-0.163,1741620142117149893
-0.163,1741620142146322128
-0.147,1741620142194251317
-0.147,1741620142242925876
-0.132,1741620142270132591
-0.132,1741620142306873424
-0.132,1741620142347341835
-0.122,1741620142396533663
-0.122,1741620142428624635
-0.122,1741620142466348591
-0.122,1741620142506294327
-0.122,1741620142549168792
-0.122,1741620142587615952
-0.122,1741620142634675298
-0.127,1741620142666481979
-0.127,1741620142706701771
-0.127,1741620142746671778
-0.134,1741620142786195592
-0.134,1741620142835871616
-0.141,1741620142866584461
-0.141,1741620142909391572
-0.141,1741620142946662771
-0.142,1741620142992208638
-0.142,1741620143042928066
-0.147,1741620143069312568
-0.147,1741620143106691574
-0.147,1741620143149705627
-0.145,1741620143193356330
-0.145,1741620143236546189
-0.14,1741620143275586025
