_channels,timestamp
"[1500 1500 1381 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129120310319
"[1500 1500 1381 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129170723814
"[1500 1500 1387 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129220234218
"[1500 1500 1394 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129270195633
"[1500 1500 1394 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129320237721
"[1500 1500 1394 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129370209800
"[1500 1500 1402 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129420255878
"[1500 1500 1407 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129470270925
"[1500 1500 1407 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129520264067
"[1500 1500 1407 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129570415486
"[1500 1500 1410 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129620731349
"[1500 1500 1417 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129671869734
"[1500 1500 1417 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129720691507
"[1500 1500 1417 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129770490818
"[1500 1500 1421 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129820277860
"[1500 1500 1421 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129870495978
"[1500 1500 1425 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129920469910
"[1500 1500 1425 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620129970341106
"[1500 1500 1429 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130020303009
"[1500 1500 1433 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130071630641
"[1500 1500 1433 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130120245696
"[1500 1500 1433 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130170152756
"[1500 1500 1435 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130220333609
"[1500 1500 1437 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130270242696
"[1500 1500 1437 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741620130320370597
