_channels,timestamp
"[1500 1500 1336 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619979813543862
"[1500 1500 1336 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619979863671303
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619979913377644
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619979963333800
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980013437139
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980063499496
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980113494740
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980163321277
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980213386683
"[1500 1500 1335 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980263356342
"[1500 1500 1337 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980313506990
"[1500 1500 1337 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980363347998
"[1500 1500 1340 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980413366827
"[1500 1500 1340 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980463477447
"[1500 1500 1342 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980513401355
"[1500 1500 1348 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980563460917
"[1500 1500 1348 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980613379167
"[1500 1500 1348 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980663233063
"[1500 1500 1353 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980713214723
"[1500 1500 1358 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980763261528
"[1500 1500 1358 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980813276940
"[1500 1500 1358 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980863309430
"[1500 1500 1363 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980913226444
"[1500 1500 1369 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619980963302673
"[1500 1500 1369 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981013337616
"[1500 1500 1369 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981063425439
"[1500 1500 1376 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981113351156
"[1500 1500 1381 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981163329738
"[1500 1500 1381 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981213475803
"[1500 1500 1381 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981263325140
"[1500 1500 1387 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981313577621
"[1500 1500 1392 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981363338494
"[1500 1500 1392 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981413303049
"[1500 1500 1392 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981463330099
"[1500 1500 1398 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981513463552
"[1500 1500 1398 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981563302594
"[1500 1500 1404 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981613273406
"[1500 1500 1404 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981663352559
"[1500 1500 1408 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741619981713466698
